"UB-6041 (CasD182)","UB-6038 (CasD183)","UB-4960 (BuD391B)","UB-4959 (BuD391A)","UB-4511 (EH090)","UB-4512 (EH091)","MelSG077","UB-4885 (MelSG078)","UB-4884 (MelSG079)","UB-4882 (MelSG080)","UB-6476 (BuD339)","UB-4734 (MH105c)","UB-4732 (MH094)","UB-4890 (MelSG075)","UB-4728 (MH064)","UB-4733 (MH095)","UB-6473 (BuD250)","UB-4735 (Ber022)","UB-4739 (Ber134/1)","UB-4836 (WG27)","UB-6472 (BuD222)","UB-6037 (CasD134)","UB-4888 (MelSG089)","UB-6040 (CasD053)","UB-4707 (EH079)","UB-6035 (CasD096)","UB-4975 (AstCli12)","UB-4984 (Lec018)","UB-4835 (ApD134)","UB-4729 (MH068)","UB-6034 (CasD120)","UB-4705 (WHes123)","UB-6033 (WHes113)","UB-4709 (EH014)","UB-4708 (EH083)","UB-5208 (ApD107)","UB-4077 (But4275)","UB-4965 (ApD117)","UB-4889 (MelSG069)","UB-4963 (SPTip208)","UB-6032 (SPTip073)","UB-6036 (CasD013)","UB-4887 (MelSG082)","UB-4964 (Cod30)","UB-4883 (MelSG095)","UB-4042 (But1674)","UB-4552 (MaDE3)","UB-4507 (Lec187)","UB-4706 (WHes118)","UB-4502 (Lec138)","UB-4504 (Lec179)","UB-4910 (BloodH22)","UB-4506 (Lec172/2)","MaDE1 & E2","UB-4554 (MaDF2)","UB-4549 (MaDC7)","UB-4553 (MaDD10)","UB-6042 (CasD088)","UB-4501 (Lec014)","UB-4503 (Lec148)","SUERC-51539 (ERL G353)","SUERC-51548 (ERL G210)","SUERC-51553 (ERL G116)","SUERC-39108 ERLK G322","SUERC-39109 ERL G362","SUERC-39112 ERL G405","SUERC-51560 ERL G038","SUERC-39091 (ERL G003)","SUERC-39092 (ERL G005)","SUERC-39113 (ERL G417)","SUERC-51549 (ERL G195)","SUERC-51543 (ERL G281)","SUERC-51551 (ERL G193)","SUERC-51552 (ERL G107)","SUERC-39100 (ERL G266)","SUERC-51550 (ERL G254)","SUERC-39096 (ERL G112)"
562.245,640.067,521.464,646.277,571.11,662.049,577.255,603.646,625.038,660.512,526.141,525.329,538.252,561.471,607.562,526.72,528.027,538.482,541.203,538.934,565.477,569.533,543.743,551.593,517.516,575.904,584.685,567.967,549.809,551.827,604.704,594.864,590.207,580.521,613.383,582.493,604.045,602.097,632.491,622.734,604.869,574.941,653.446,630.84,641.264,630.958,660.695,653.447,621.153,646.559,660.111,668.634,654.15,660.775,659.424,666.266,669.822,660.906,665.707,670.773,597.351,656.383,653.265,516.219,556.724,538,567.588,522.942,519.014,568.242,591.14,572.163,611.819,644.062,587.465,624.137,610.712
576.851,591.992,531.146,632.623,588.859,658.307,590.932,608.691,645.731,655.719,542.367,528.674,551.221,583.065,568.204,535.603,542.462,537.1,547.363,515.531,535.425,560.292,549.859,560.803,545.039,549.1,555.473,552.345,569.937,589.593,551.695,588.904,591.575,559.506,625.493,568.22,598.672,595.036,622.374,634.137,607.983,634.062,619.981,648.13,599.985,651.549,662.11,645.589,633.219,646.217,656.661,662.091,656.88,668.989,658.122,665.388,665.49,669.429,666.728,657.269,602.335,661.56,661.609,523.458,538.348,544.514,545.254,522.353,522.115,546.098,567.393,572.614,621.907,630.315,581.44,619.008,624.782
557.482,629.395,525.923,644.835,596.801,666.445,552.54,591.72,643.518,663.451,520.223,517.184,540.051,561.537,575.982,523.66,516.689,529.842,530.176,548.83,533.458,546.161,566.639,548.044,613.93,559.642,550.543,566.527,573.652,611.277,560.022,555.991,561.549,598.791,621.47,585.148,576.492,612.358,614.449,635.602,652.275,652.323,615.731,644.06,626.486,649.466,649.377,638.206,651.6,646.832,644.274,664.445,666.395,660.604,653.875,652.648,662.24,670.728,671.459,668.58,599.447,668.672,653.562,518.473,519.646,536.048,581.805,517.659,539.914,586.968,571.616,564.329,633.182,637.073,602.486,614.34,636.929
582.612,607.511,522.663,634.777,548.039,660.192,585.008,595.834,614.707,657.941,534.38,538.973,538.296,541.354,609.48,521.133,521.075,541.519,581.488,544.544,544.849,553.622,540.986,567.037,565.751,561.04,604.626,571.106,572.735,551.919,582.356,553.351,583.382,578.794,571.368,605.031,603.376,560.247,619.156,599.142,618.121,636.468,607.598,630.172,640.558,639.106,665.491,635.911,631.03,640.557,654.32,656.21,661.48,652.864,668.221,667.007,671.869,670.646,669.512,670.672,628.437,663.336,667.34,522.418,535.429,523.093,552.525,523.422,541.695,558.617,611.158,594.483,611.215,639.405,558.243,646.752,613.984
557.842,599.825,528.828,627.072,568.019,662.871,567.997,600.213,631.001,638.27,513.356,539.238,542.157,549.934,570.079,526.972,532.662,521.078,552.655,513.197,549.486,544.573,551.63,591.157,556.973,578.855,552.066,590.795,597.613,589.532,580.785,574.227,555.758,566.015,625.641,604.145,642.2,558.175,618.949,621.638,606.442,612.217,610.904,631.041,630.848,641.308,651.177,630.124,629.653,660.09,658.363,661.079,668.05,666.097,667.774,669.729,668.112,661.322,671.249,663.43,609.599,656.317,662.962,512.854,514.306,531.633,532.189,533.104,523.61,565.115,599.447,573.456,607.766,639.472,602.73,634.049,619.845
563.758,615.783,525.23,627.113,559.656,662.801,594.424,596.588,638.887,647.762,528.436,534.734,531.602,541.079,579.751,534.507,536.803,519.105,538.882,532.009,541.783,544.073,544.067,547.369,544.736,568.252,575.386,572.562,563.046,598.348,592.278,586.991,566.213,575.925,581.17,604.369,552.76,588.653,638.706,639.827,650.558,604.267,644.818,648.377,631.784,630.828,642.492,645.612,614.594,613.894,660.993,658.868,647.201,656.413,656.961,663.618,659.877,663.058,661.057,660.974,592.04,660.762,659.212,519.364,519.978,538.659,565.831,533.376,540.279,560.052,615.849,581.45,590.569,648.672,579.604,637.638,619.534
569.775,600.383,524.626,632.257,572.017,664.477,587.03,617.708,646.432,654.029,524.931,530.253,539.059,540.997,561.2,526.42,528.313,513.477,542.427,514.224,541.438,541.537,560.36,571.463,571.425,577.795,551.181,571.895,564.228,579.224,564.04,575.744,572.613,597.32,574.523,567.126,595.584,590.929,644.814,625.057,617.25,630.702,641.236,643.095,643.793,642.993,658.519,646.664,644.024,656.403,620.086,657.936,656.081,660.918,662.496,660.53,663.598,664.086,660.043,661.206,588.323,664.728,648.835,514.556,537.375,530.521,563.234,525.058,513.841,545.256,580.801,613.013,646.319,639.82,576.026,612.555,602.633
555.438,623.06,513.054,648.072,555.594,661.064,580.069,606.786,615.894,654.418,531.589,510.46,547.124,564.993,555.018,566.012,540.725,539.698,530.843,546.509,550.632,547.978,520.57,560.429,562.382,567.495,588.516,566.051,583.323,577.873,568.646,605.209,575.556,573.026,627.333,582.854,559.83,574.965,635.101,641.336,629.213,608.619,632.76,643.186,628.306,651.993,653.558,639.7,584.387,616.801,656.871,654.382,659.477,656.374,664.597,666.162,662.965,662.481,663.679,661.773,595.921,659.631,661.378,537.925,515.233,512.844,550.272,520.887,520.167,558.011,586.964,583.642,616.555,641.569,583.043,605.398,643.55
554.099,632.837,518.275,644.02,579.842,661.683,570.139,580.052,612.95,663.991,531.179,525.293,542.9,548.637,577.3,518.841,552.486,520.089,530.881,517.038,546.062,556.028,567.342,543.265,593.46,563.587,564.796,564.692,588.682,590.44,572.605,564.329,553.33,596.438,614.392,600.112,608.01,591.512,598.094,626.515,620.241,599.558,662.424,653.219,626.076,648.555,647.045,634.634,636.139,651.907,660.468,657.521,657.366,658.774,657.405,664.756,658.374,659.035,665.066,662.401,639.579,659.47,656.846,518.404,543.558,537.338,520.671,535.19,511.933,573.479,582.562,592.748,579.387,586.147,604.581,649.238,644.289
568.792,623.544,539.933,646.039,551.587,655.39,568.78,576.7,639.738,651.052,535.812,536.02,545.903,535.925,554.257,526.118,526.913,540.471,540.011,539.444,563.371,555.662,539.14,533.555,565.763,567.966,583.637,581.386,572.426,591.245,594.245,547.736,585.439,598.495,607.816,577.836,561.207,611.196,593.893,648.584,611.511,634.783,598.214,637.527,594.235,651.06,661.196,636.647,644.83,652.786,649.526,660.528,661.314,660.203,657.304,653.576,660.248,664.974,659.073,659.203,608.467,662.508,656.626,538.914,513.004,518.152,549.013,513.539,521.285,575.741,567.992,578.78,635.04,643.31,605.179,632.292,619.299
