"UB-6041 (CasD182)","UB-6038 (CasD183)","UB-4960 (BuD391B)","UB-4959 (BuD391A)","UB-4511 (EH090)","UB-4512 (EH091)","MelSG077","UB-4885 (MelSG078)","UB-4884 (MelSG079)","UB-4882 (MelSG080)","UB-6476 (BuD339)","UB-4734 (MH105c)","UB-4732 (MH094)","UB-4890 (MelSG075)","UB-4728 (MH064)","UB-4733 (MH095)","UB-6473 (BuD250)","UB-4735 (Ber022)","UB-4739 (Ber134/1)","UB-4836 (WG27)","UB-6472 (BuD222)","UB-6037 (CasD134)","UB-4888 (MelSG089)","UB-6040 (CasD053)","UB-4707 (EH079)","UB-6035 (CasD096)","UB-4975 (AstCli12)","UB-4984 (Lec018)","UB-4835 (ApD134)","UB-4729 (MH068)","UB-6034 (CasD120)","UB-4705 (WHes123)","UB-6033 (WHes113)","UB-4709 (EH014)","UB-4708 (EH083)","UB-5208 (ApD107)","UB-4077 (But4275)","UB-4965 (ApD117)","UB-4889 (MelSG069)","UB-4963 (SPTip208)","UB-6032 (SPTip073)","UB-6036 (CasD013)","UB-4887 (MelSG082)","UB-4964 (Cod30)","UB-4883 (MelSG095)","UB-4042 (But1674)","UB-4552 (MaDE3)","UB-4507 (Lec187)","UB-4706 (WHes118)","UB-4502 (Lec138)","UB-4504 (Lec179)","UB-4910 (BloodH22)","UB-4506 (Lec172/2)","MaDE1 & E2","UB-4554 (MaDF2)","UB-4549 (MaDC7)","UB-4553 (MaDD10)","UB-6042 (CasD088)","UB-4501 (Lec014)","UB-4503 (Lec148)","SUERC-51539 (ERL G353)","SUERC-51548 (ERL G210)","SUERC-51553 (ERL G116)","SUERC-39108 ERLK G322","SUERC-39109 ERL G362","SUERC-39112 ERL G405","SUERC-51560 ERL G038","SUERC-39091 (ERL G003)","SUERC-39092 (ERL G005)","SUERC-39113 (ERL G417)","SUERC-51549 (ERL G195)","SUERC-51543 (ERL G281)","SUERC-51551 (ERL G193)","SUERC-51552 (ERL G107)","SUERC-39100 (ERL G266)","SUERC-51550 (ERL G254)","SUERC-39096 (ERL G112)"
562.848,581.188,525.062,631.128,563.084,663.446,558.12,566.842,643.242,651.206,521.745,525.387,559.408,541.47,602.03,531.517,531.276,551.821,547.764,547.799,553.504,565.244,537.198,567.324,561.212,557.351,555.921,553.448,552.327,593.406,561.729,563.175,564.748,562.68,578.153,561.428,548.241,602.327,630.16,651.271,650.793,631.955,628.935,638.025,651.309,639.844,651.326,634.189,642.97,648.985,661.355,649.261,661.351,659.38,660.194,664.515,667.846,667.712,662.176,667.96,582.297,668.009,666.156,537.845,541.831,546.321,548.811,532.471,523.911,570.26,579.349,600.909,649.516,638.95,584.828,645.963,632.217
569.314,612.556,532.499,646.143,561.481,649.596,594.082,596.629,621.355,655.965,536.766,532.551,531.664,557.2,562.069,529.021,529.353,527.438,532.572,548.637,541.966,560.242,550.985,546.808,560.158,578.516,587.226,565.817,553.009,570.227,605.07,588.006,560.736,587.662,584.209,590.939,576.091,577.779,612.711,615.695,650.765,648.549,649.883,639.19,640.288,626.958,659.628,653.049,650.806,635.598,640.61,655.236,656.741,664.031,664.826,669.632,668.78,672.086,672.599,667.867,609.076,637.588,665.168,528.325,530.13,545.473,549.393,535.193,533.011,579.98,587.902,598.514,625.428,634.7,592.316,595.038,610.844
575.163,615.171,526.33,615.964,572.42,662.263,564.915,572.831,634.833,638.715,530.79,533.491,559.164,539.973,605.069,529.096,548.724,553.283,549.651,537.738,561.657,546.804,528.969,551.548,548.027,565.017,551.241,592.357,582.36,587.887,569.968,601.944,580.934,566.957,573.34,585.541,583.399,605.08,621.321,626.766,633.537,646.199,619.667,634.111,633.195,611.236,648.4,649.037,622.846,656.99,661.643,653.839,637.471,658.821,664.797,652.562,665.703,667.4,676.371,668.935,618.9,661.189,659.058,535.95,543.179,550.162,555.86,529.943,535.482,578.404,590.634,604.412,629.991,639.452,579.498,635.554,585.594
571.604,589.242,541.225,617.603,585.288,661.108,574.474,609.99,616.414,664.648,542.554,534.781,544.212,553.142,555.593,534.049,547.457,544.487,546.51,540.477,554.065,547.176,561.505,555.996,544.527,557.036,558.511,568.314,603.215,598.582,561.774,564.828,571.178,574.757,579.61,590.074,563.014,597.249,600.516,629.532,648.142,613.466,645.727,629.491,613.927,630.787,660.822,619.203,618.885,653.083,653.943,656.929,666.676,662.074,675.046,672.678,657.777,671.73,670.525,667.194,592.583,660.773,651.708,536.288,542.987,541.43,558.232,538.826,543.368,547.212,581.694,575.197,590.985,609.808,584.543,628.63,622.449
567.442,640.462,531.617,637.646,590.415,662.2,585.463,607.336,625.559,643.194,527.17,525.44,545.03,548.504,588.72,528.472,540.649,546.03,548.152,545.781,555.448,547.824,545.524,556.184,543.547,567.873,557.138,570.131,558.057,607.372,552.543,573.352,594.772,602.322,589.108,595.258,572.637,579.473,576.941,622.246,644.82,638.792,616.683,630.358,629.429,622.128,664.86,648.39,649.933,633.596,653.885,660.55,661.989,666.851,661.406,663.751,660.254,665.824,665.071,664.481,573.993,667.519,659.719,530.426,539.518,548.671,541.078,527.957,523.864,552.011,567.878,583.243,625.873,624.153,592.011,640.923,594.86
551.798,611.842,533.651,618.058,558.735,656.309,565.629,584.122,588.759,649.389,526.879,526.941,542.047,558.638,576.378,523.574,544.679,535.377,535.371,543.348,551.216,514.068,561.586,549.677,552.767,558.082,569.608,543.088,561.035,600.448,571.265,569.031,571.018,555.771,600.86,591.562,565.653,594.682,588.434,648.77,636.357,641.408,637.067,646.008,637.131,630.104,658.043,650.004,653.6,652.048,651.315,658.394,651.175,655.812,655.545,668.472,662.461,665.382,664.947,665.762,611.931,663.209,672.641,517.333,511.521,522.914,552.826,514.204,513.203,574.611,572.188,619.878,639.93,619.85,588.885,632.274,609.045
578.63,601.491,535.915,630.937,574.134,659.243,575.305,580.697,637.222,659.181,515.145,527.752,541.508,543.936,580.624,529.76,514.724,558.22,543.318,533.828,581.547,561.476,545.635,589.629,580.405,562.716,568.086,565.479,598.808,571.239,580.285,576.399,582.451,564.307,603.149,576.503,570.709,588.302,610.468,629.931,594.187,649.107,627.216,629.701,639.439,646.149,656.963,647.998,643.119,657.661,661.433,660.385,663.882,667.357,658.545,664.621,653.992,664.544,662.169,663.849,598.575,665.116,655.671,515.038,523.455,520.189,560.593,519.056,521.15,552.94,562.018,603.572,611.7,635.296,588.923,645.702,603.583
564.643,608.803,530.199,641.091,551.197,657.821,574.832,590.918,620.753,640.112,526.91,514.578,571.126,544.828,569.114,531.742,539.566,537.904,518.237,533.719,503.334,546.09,544.903,553.279,579.564,563.201,579.612,557.129,586.734,551.547,578.822,557.41,557.511,585.648,593.542,596.368,593.577,578.917,623.697,637.578,607.257,629.116,610.986,650.027,624.976,635.944,648.925,647.121,652.833,639.315,647.176,663.293,653.035,662.994,662.961,663.199,660.416,663.647,665.839,658.991,611.16,663.151,647.809,513.681,539.495,530.76,541.707,525.565,541.681,564.23,564.947,632.547,632.196,609.048,586.353,602.935,598.433
556.621,628.019,536.949,623.585,608.931,650.352,574.033,645.519,647.186,651.19,528.62,520.952,542.628,571.237,566.333,536.323,547.119,543.201,550.38,549.776,516.517,521.233,556.237,562.327,588.212,593.875,564.444,566.971,557.638,550.979,581.466,630.787,581.677,596.005,585.779,583.832,599.287,599.376,598.955,614.273,622.124,624.786,632.347,652.602,632.86,641.505,619.608,642.162,647.747,646.963,633.052,653.779,661.684,654.096,667.141,673.175,663.418,671.631,661.965,666.425,623.145,657.07,663.039,543.108,524.867,543.934,542.919,529.75,527.523,552.576,566.199,597.056,590.636,629.206,592.254,626.126,576.997
563.019,629.627,524.391,641.26,555.425,661.077,583.248,586.444,623.373,659.712,532.778,522.592,534.298,561.185,592.447,531.593,516.604,540.561,525.562,516.255,538.037,551.072,541.265,545.495,556.53,548.272,552.214,550.864,555.876,589.675,581.792,565.426,569.87,571.556,566.064,563.23,577.793,572.03,596.917,636.768,647.571,613.336,620.04,638.267,647.036,637.972,660.553,649.832,645.166,648.328,660.024,658.19,669.003,659.459,653.477,674.408,664.426,669.321,671.182,666.693,584.734,672.363,659.118,536.562,535.442,538.431,542.805,534.159,526.904,598.87,580.517,597.207,644.438,639.804,577.703,613.02,619.862
546.678,608.83,529.468,640.429,556.882,661.417,578.271,589.935,594.306,665.839,527.119,544.437,530.173,542.763,596.423,537.777,540.713,550.581,547.559,563.617,519.064,571.463,559.892,552.974,560.067,558.577,570.874,567.313,588.828,559.786,551.719,593.225,558.797,574.502,595.923,624.635,578.577,595.814,647.652,634.03,634.316,644.962,630.351,629.579,627.348,632.388,629.912,635.871,637.03,637.19,635.216,669.051,667.366,652.931,658.489,661.763,662.22,668.121,667.783,657.051,638.814,666.228,662.661,541.698,532.154,528.398,544.746,531.551,530.283,568.122,638.544,601.921,605.658,622.921,601.937,645.181,641.156
560.984,610.037,532.705,650.326,581.273,666.572,595.879,601.702,651.346,652.889,530.282,532.502,539.36,547.307,567.055,527.985,563.168,540.88,562.101,536.528,550.482,549.213,543.22,551.976,555.629,565.514,546.088,553.964,570.062,553.154,606.349,556.159,585.15,627.069,551.802,619.149,579.327,583.873,631.873,583.896,606.912,637.857,631.21,653.191,640.262,616.802,667.442,616.376,651.278,654.077,651.397,654.303,663.109,666.003,656.117,664.307,662.956,667.929,663.526,669.586,608.871,667.89,659.059,539.805,543.798,534.882,545.109,536.156,541.627,583.576,591.367,569.598,633.552,644.432,573.609,638.682,618.664
573.621,586.347,527.688,622.743,597.497,660.894,586.479,615.482,628.225,631.237,531.341,526.881,544.59,542.013,623.207,531.251,529.276,554.61,546.542,531.945,540.431,565.648,546.466,565.283,557.278,580.104,558.092,579.848,558.084,561.136,577.72,587.401,577.009,578.073,585.59,603.6,553.547,577.73,601.744,616.493,624.269,627.014,648.493,648.256,613.904,634.316,659.197,619.892,639.761,623.017,647.218,659.664,651.256,653.026,663.624,658.933,663.355,663.716,668.07,659.081,610.468,660.075,659.989,535.229,531.526,543.283,543.827,531.55,525.465,551.787,574.683,621.43,591.895,637.029,569.705,624.953,615.89
572.718,575.325,538.655,628.571,596.484,660.348,559.227,619.111,636.254,666.747,532.253,528.148,535.354,544.094,597.711,532.642,536.889,530.327,546.121,554.982,569.748,561.691,562.308,556.547,568.034,574.418,571.082,572.417,559.011,549.017,589.739,577.734,606.237,564.383,569.814,575.327,595.565,590.413,613.483,611.117,634.725,636.14,641.3,635.71,640.125,621.395,654.924,634.765,654.146,653.691,646.101,655.065,656.883,653.627,661.064,663.97,660.198,664.096,666.813,659.052,592.259,666.408,657.258,527.859,533.385,527.403,538.003,528.877,530.077,594.551,624.637,564.677,632.038,646.699,596.64,646.468,631.277
555.564,631.469,541.6,607.969,591.369,654.424,567.659,590.952,645.233,654.705,530.472,534.213,551.396,568.978,567.693,530.543,550.828,561.411,541.716,539.534,534.412,540.685,548.764,570.115,596.433,558.107,565.944,562.217,582.854,570.641,596.445,581.863,582.575,600.211,553.592,579.403,624.344,579.71,618.612,637.345,603.761,616.699,641.933,639.268,625.275,619.888,649.218,649.469,635.191,644.633,622.849,652.129,650.517,661.167,661.458,667.531,663.953,661.155,663.562,670.811,580.625,662.292,657.972,542.25,528.052,549.804,546.594,531.806,531.654,550.099,601.302,583.802,629.2,631.976,586.721,613.956,586.651
555.093,619.695,535.994,632.281,567.956,663.003,597.927,623.346,632.886,647.186,545.873,537.904,536.256,550.651,552.701,539.265,544.07,546.049,541.786,541.808,540.455,551.651,549.844,574.052,570.475,568.206,562.734,578.283,575.135,591.902,571.808,555.235,574.74,588.998,573.925,570.722,607.103,602.788,611.668,619.421,648.133,616.545,650.282,644.289,651.775,650.443,653.321,653.106,635.799,607.956,663.241,657.298,649.564,659.343,665.461,666.632,660.024,668.214,665.284,669.363,572.455,660.227,660.036,532.097,532.436,534.391,542.096,531.552,540.375,562.27,597.671,558.953,609.958,618.308,571.123,643.506,612.869
561.509,620.931,530.333,638.057,566.968,663.901,576.4,583.279,654.654,658.405,530.617,531.463,556.156,542.38,597.819,533.459,548.276,545.98,566.804,545.976,555.29,558.604,545.728,557.204,548.224,569.186,591.01,564.777,561.095,553.238,592.55,588.81,576.837,576.722,600.535,582.916,564.126,602.243,604.665,604.638,647.051,622.187,633.62,641.057,645.485,631.182,638.92,663.348,630.831,639.216,623.229,654.404,657.12,662.763,659.01,669.486,667.8,669.049,660.24,669.181,631.096,670.226,662.652,541.876,532.655,532.48,540.373,538.847,544.781,558.287,599.467,571.582,632.615,614.731,578.48,643.412,639.362
577.041,613.671,530.515,640.043,567.236,659.973,596.116,602.869,629.389,661.576,533.12,540.133,535.734,543.28,586.177,531.041,549.913,541.186,538.848,567.123,543.346,543.94,541.327,550.69,571.862,593.588,572.807,553.275,577.614,555.416,580.785,587.781,595.145,578.74,600.003,576.125,576.376,592.936,571.496,636.586,630.37,643.349,646.342,634.864,634.546,643.581,663.801,616.071,635.874,627.651,656.123,654.551,659.132,667.246,666.673,666.518,659.868,663.297,660.894,667.893,582.87,659.676,650.118,534.662,542.274,535.534,546.582,528.298,538.752,553.479,612.332,618.88,585.101,608.181,573.247,647.579,593.557
588.75,597.849,528.952,613.718,580.722,663.128,571.877,591.86,633.466,648.566,536.123,541.743,536.478,540.496,580.822,535.249,537.529,533.188,542.696,536.83,557.261,563.793,567.519,550.526,566.314,579.074,576.216,578.522,571.942,566.511,584.489,619.453,570.856,564.051,595.482,605.001,589.681,559.706,606.579,631.547,632.442,597.88,638.299,632.332,615.538,637.542,647.196,630.789,650.521,633.025,655.722,657.934,663.128,660.558,658.672,663.433,664.047,663.58,665.336,665.228,621.411,661.715,660.954,535.359,550.582,532.868,549.067,534.187,531.013,540.757,599.672,584.559,602.394,609.9,594.854,644.958,645.794
583.933,630.684,532.304,609.432,548.302,667.232,583.311,595.631,606.547,655.737,542.855,538.39,543.221,534.076,566.633,528.468,544.188,548.843,548.075,533.901,557.456,555.736,538.45,556.426,568.442,555.636,567.885,568.221,552.11,563.815,583.845,568.051,641.389,569.584,596.072,620.382,579.061,618.724,604.895,626.131,651.776,620.362,649.015,632.03,657.832,649.165,656.402,650.743,636.45,635.576,648.564,650.885,653.098,659.589,666.684,665.293,666.245,666.799,659.469,664.645,645.801,655.877,662.902,557.971,530.998,540.79,546.474,532.987,534.238,551.055,573.904,563.375,626.544,633.18,594.381,638.787,600.629
581.982,609.035,524.712,634.1,558.473,660.28,582.53,592.357,643.751,645.419,530.024,526.344,544.8,568.276,562.232,531.203,547.91,543.961,543.774,569.798,536.279,546.82,556.832,553.804,573.698,552.801,551.989,578.15,594.93,556.408,560.725,589.821,590.363,555.545,573.164,582.803,574.154,567.051,584.831,583.353,630.304,617.441,612.638,636.789,618.72,623.391,661.644,632.921,652.492,654.023,640.628,653.872,654.077,665.266,663.762,661.19,662.229,666.985,662.557,666.598,589.273,656.627,653.507,525.926,531.561,540.496,548.796,538.62,524.958,573.307,584.496,566.248,582.508,636.92,592.863,623.094,605.402
552.203,604.158,530.778,629.298,585.543,649.019,560.576,572.077,638.564,658.673,526.516,530.972,558.991,514.04,566.948,532.474,529.581,541.754,545.329,530.927,566.628,569.167,568.651,555.47,551.902,561.094,587.606,569.269,590.83,575.396,579.427,597.791,555.374,594.683,610.281,624.464,572.126,619.86,623.774,576.791,613.052,643.449,636.883,641.096,627.4,649.134,658.937,649.276,636.513,650.535,655.375,660.198,659.298,657.38,659.699,660.463,658.757,658.418,661.922,662.242,588.804,656.959,652.409,530.821,549.786,563.096,552.956,536.498,521.563,576.679,573.042,551.948,626.479,630.512,584.108,632.646,569.048
546.327,597.859,528.393,623.166,553.892,668.641,565.72,579.159,653.684,657.258,535.884,539.089,526.59,540.211,568.732,532.395,547.738,521.51,539.946,546.046,555.888,548.273,549.663,560.676,572.24,558.663,562.167,567.73,559.042,573.381,580.26,589.981,593.065,592.87,584.852,604.436,574.362,617.582,626.528,633.085,635.877,649.202,631.583,635.933,630.59,647.232,662.15,652.866,651.918,649.647,658.175,651.041,658.12,657.34,666.636,665.041,661.188,662.611,668.481,666.169,584.223,669.676,663.237,540.869,529.245,550.137,563.528,531.235,527.169,555.951,608.028,574.363,611.859,648.045,576.5,611.056,620.656
595.874,632.808,519.365,646.262,559.827,661.393,562.669,587.762,609.5,668.979,524.666,527.306,535.514,545.074,605.064,525.853,548.428,536.387,542.731,535.353,537.565,557.104,548.788,565.194,554.851,555.969,600.314,581.304,570.062,551.931,601.956,550.465,563.604,566.597,604.971,595.466,593.337,567.728,572.952,640.982,647.268,640.64,636.234,650.793,626.621,612.421,637.344,610.484,642.052,594.664,653.726,662.748,653.998,656.571,668.407,659.077,666.294,669.882,665.844,659.095,582.239,656.478,662.219,546.778,537.839,545.224,541.325,522.499,528.66,549.198,576.502,564.215,624.14,605.428,595.736,636.635,608.054
556.612,646.203,528.672,644.339,566.779,664.778,579.178,609.918,630.566,632.076,526.517,535.694,532.116,562.932,592.51,529.553,548.751,537.343,523.275,544.996,552.197,562.936,546.612,558.513,540.686,552.647,592.667,570.163,561.366,559.065,599.312,575.701,558.775,573.408,580.094,587.19,597.423,588.158,597.876,641.593,648.88,630.955,612.887,651.234,649.832,644.593,615.062,626.922,638.014,653.568,658.761,654.876,667.362,665.365,664.315,663.74,664.314,664.305,660.608,667.022,590.287,660.368,652.585,537.588,534.623,536.292,535.583,524.413,532.219,542.465,573.185,578.224,605.737,650.541,566.522,651.73,596.395
565.068,613.562,522.005,614.525,547.878,664.2,556.849,595.742,646.302,651.629,528.613,542.064,536.426,533.867,561.255,522.652,547.317,546.074,566.575,535.796,555.455,551.186,559.119,558.373,576.788,601.186,557.354,574.59,599.647,594.872,559.529,589.065,575.328,577.147,585.782,562.953,579.651,577.633,640.513,618.054,626.859,633.187,609.786,631.585,652.269,650.075,657.851,648.426,616.293,656.956,650.368,654.386,664.601,652.36,664.875,663.615,659.612,662.506,668.071,662.412,603.629,658.434,661.011,530.929,523.54,533.03,541.739,541.936,537.652,558.572,596.104,586.175,608.395,637.823,586.785,624.096,598.518
575.392,650.717,531.994,645.009,570.287,657.755,583.228,605.194,641.563,660.573,527.251,530.026,571.126,565.869,596.725,534.249,531.943,543.452,548.574,546.363,594.853,561.989,554.985,531.965,579.627,553.27,565.697,557.232,597.791,552.822,575.541,547.536,589.784,589.3,591.526,567.487,573.474,550.669,574.671,624.897,615.835,612.971,637.553,646.005,613.594,577.367,658.61,637.767,650.927,651.091,651.954,658.375,659.766,655.552,663.519,662.674,660.988,669.741,663.532,663.815,632.452,663.902,659.585,537.901,523.364,527.59,544.572,531.801,531.256,572.384,562.055,591.121,622.955,606.598,583.301,632.507,642.817
556.325,599.641,529.445,633.974,553.285,655.312,576.254,585.62,637.038,642.774,528.544,546.062,534.907,550.935,558.009,533.58,535.645,537.726,533.152,561.518,542.737,526.266,547.533,568.881,543.226,573.444,563.221,546.542,570.895,553.901,578.191,591.456,597.911,578.096,591.457,604.595,572.493,586.87,625.132,607.253,631.741,643.079,642.134,637.912,622.978,653.771,654.843,639.956,651.291,657.699,660.626,653.725,657.58,663.39,659.714,660.062,666.653,668.564,661.194,668.519,632.533,662.992,653.658,531.986,528.042,532.094,552.427,537.426,532.769,556.211,591.1,604.705,584.828,650.17,587.429,635.987,637.915
552.671,628.653,527.661,613.109,588.721,662.841,571.788,581.699,640.94,664.243,537.739,522.028,537.433,541.607,614.961,526.016,520.955,559.808,540.651,524.226,549.337,543.848,568.969,546.549,550.331,551.686,590.691,554.09,556.231,557.819,582.774,582.895,563.14,550.574,592.294,570.86,600.41,604.713,608.871,612.709,605.68,649.609,653.779,632.659,649.344,643.62,657.218,647.749,631.607,649.266,659.638,660.056,666.092,661.139,667.008,663.638,667.21,664.12,659.295,676.769,618.392,659.172,669.283,525.179,541.189,549.921,565.393,530.765,521.944,551.922,584.062,585.119,635.637,618.867,588.885,652.765,623.918
560.585,621.317,524.524,638.903,566.504,659.089,569.312,605.157,615.885,651.086,521.192,522.304,532.65,551.846,597.198,521.972,533.976,562.272,551.698,534.476,541.222,542.877,561.614,567.316,554.771,560.496,557.19,625.323,599.478,562.498,571.97,555.719,568.772,586.096,626.015,583.011,569.15,593.45,587.058,622.209,651.84,618.654,622.146,639.229,616.772,591.936,662.582,648.893,617.124,653.747,655.325,662.733,668.856,661.458,663.926,656.211,669.866,669.245,668.959,665.15,584.783,652.452,654.063,534.87,530.166,547.645,550.941,536.498,524.682,566.429,604.578,614.814,592.88,644.383,583.527,645.024,596.512
597.843,608.599,533.865,628.51,596.24,658.236,583.063,589.461,624.205,657.074,523.979,519.045,551.952,551.558,585.606,544.422,560.218,538.619,544.178,546.119,550.63,551.803,557.799,541.584,556.153,562.887,593.591,602.04,560.244,555.325,577.687,557.358,624.194,605.573,563.502,579.668,586.899,620.551,572.335,628.204,630.732,629.09,631.97,639.507,627.42,617.229,656.661,645.065,632.533,634.319,639.559,664.586,660.311,663.161,660.133,670.791,660.776,668.126,653.165,668.921,596.855,663.527,657.615,541.844,541.881,520.558,526.821,532.656,521.975,559.083,566.417,587.58,609.83,642.236,578.139,623.267,628.092
582.42,610.467,530.483,614.926,568.244,662.582,592.082,602.712,639.269,640.275,535.704,530.838,556.995,550.745,560.559,531.87,563.844,562.863,534.371,537.325,533.488,550.482,547.962,580.263,546.035,557.203,593.219,563.866,602.483,603.113,567.175,584.163,575.6,552.932,580.509,570.565,603.5,615.806,641.967,628.76,653.777,580.294,638.099,646.019,655.224,654.094,651.55,651.59,628.204,647.753,650.575,653.846,654.836,652.618,668.856,665.059,666.512,662.082,663.95,663.06,636.398,658.046,660.318,533.971,544.11,523.518,555.726,528.144,527.18,558.099,569.686,643.998,638.049,644.317,583.398,621.876,602.18
581.513,605.98,524.197,617.411,569.265,663.302,586.808,608.631,638.615,651.097,523.662,533.072,551.074,566.56,557.736,532.312,544.216,539.515,543.119,559.572,520.441,540.415,547.745,551.975,583.736,557.434,560.544,587.978,595.846,576.252,563.653,569.044,581.912,599.279,589.432,592.99,599.145,560.55,613.913,588.895,613.907,638,631.597,649.67,621.26,644.708,656.771,630.613,649.967,634.334,652.34,665.962,659.146,657.115,656.197,661.15,669.536,663.895,662.203,660.273,623.01,664.035,665.138,539.638,529.43,529.547,547.434,526.1,520.604,552.67,610.445,592.46,617.81,648.491,596.681,651.682,580.039
556.957,638.152,532.149,614.787,583.255,664.107,583.392,597.72,616.046,657.874,525.753,538.031,541.177,571.174,586.82,525.444,542.863,534.468,540.341,561.201,551.234,549.952,549.831,547.066,574.093,572.742,559.311,569.714,572.543,565.864,554.151,579.784,601.683,619.365,597.045,590.62,585.364,618.801,589.931,610.41,614.347,628.119,618.025,642.565,645.854,647.539,664.962,644.15,619.486,636.21,642.149,659.236,665.273,662.983,664.232,653.19,662.487,664.734,657.744,664.497,620.895,669.56,660.278,535.034,539.003,549.131,547.345,531.123,525.912,552.659,604.604,567.584,604.445,633.482,586.806,613.868,630.894
579.705,581.971,521.581,643.332,567.224,663.315,587.449,633.903,648.728,651.649,525.503,537.085,547.449,552.212,565.162,520.642,537.474,534.059,545.526,544.188,559.993,552.551,549.646,559.268,531.194,574.622,573.158,580.709,558.047,568.826,548.262,567.798,598.803,557.017,590.969,615.658,642.221,595.839,615.041,636.921,641.887,582.118,636.494,656.656,611.89,640.575,666.286,627.005,620.156,614.22,657.896,660.465,655.445,662.949,666.457,660.399,672.452,667.394,661.896,663.701,605.955,666.914,650.716,539.264,528.743,534.235,546.68,536.848,544.758,576.175,553.511,564.368,639.725,633.68,593.21,639.913,630.127
563.567,593.589,531.359,628.632,558.486,675.003,570.974,598.712,635.592,653.334,532.989,535.151,543.5,551.049,589.667,535.402,534.31,558.615,537.369,538.293,547.717,556.265,550.42,562.54,562.217,558.296,552.102,558.461,569.076,568.102,573.174,591.196,566.66,593.036,596.113,608.073,626.184,581.382,591.859,617.414,647.2,642.434,613.513,634.151,600.045,617.221,656.797,629.342,649.657,627.594,652.722,654.855,656.858,658.785,677.575,670.492,663.244,658.565,670.15,676.501,629.193,648.475,656.743,538.696,538.332,551.317,536.235,533.22,533.264,562.584,569.811,576.863,620.36,617.442,611.638,632.224,616.631
557.428,597.371,530.825,630.646,552.726,661.958,579.763,591.56,632.466,650.59,536.6,538.158,551.005,545.136,566.25,531.55,547.943,539.817,545.569,549.255,551.65,540.5,572.079,543.446,552.754,559.796,571.637,564.851,555.86,575.773,554.922,584.751,568.43,564.133,575.303,574.075,593.789,589.866,635.998,623.323,602.066,610.27,602.994,633.886,628.112,637.446,658.961,632.019,613.599,611.832,659.987,657.32,652.361,662.487,658.228,660.792,671.65,667.062,674.117,667.915,607.974,661.787,662.885,537.133,540.577,536.794,545.034,531.69,544.31,558.562,567.709,571.499,641.221,647.437,592.167,641.468,593.79
549.76,624.441,532.494,630.958,571.828,672.913,577.243,600.669,645.059,652.622,542.259,535.989,544.239,540.553,570.026,535.536,532.885,545.669,549.349,548.249,583.627,548.269,548.749,553.244,565.072,580.836,599.917,561.34,582.333,576.021,549.941,549.166,578.415,588.436,561.953,587.302,575.803,598.483,582.531,611.357,585.869,616.683,640.763,630.028,624.26,643.128,651.346,638.351,623.68,629.282,659.848,660.667,671.104,654.684,659.69,666.815,658.406,671.965,662.642,671.814,588.799,662.27,667.444,535.867,536.695,537.25,552.477,533.477,533.671,562.085,555.188,586.537,617.177,648.126,608.301,649.645,578.213
570.688,623.707,538.642,654.884,585.215,661.507,557.011,581.053,629.712,654.344,533.973,533.319,542.81,570.898,561.007,545.94,541.348,540.683,544.317,541.356,544.115,547.515,543.446,548.732,566.899,577.123,595.522,551.952,570.797,627.044,551.71,603.501,639.654,584.23,571.986,580.772,579.064,609.152,599.496,599.627,647.101,600.743,605.793,630.895,597.19,646.745,649.305,642.953,650.843,627.238,657.367,662.927,661.204,665.257,674.236,676.327,667.853,664.801,670.35,654.594,599.842,668.063,655.453,544.209,539.676,547.839,546.886,530.919,532.174,551.502,554.205,588.956,591.981,656.616,594.311,620.18,609.183
574.433,620.873,532.072,642.976,600.837,659.853,585.561,596.572,644.16,652.901,533.84,531.017,544.035,557.157,561.465,529.838,545.213,546.413,533.527,541.877,566.183,543.61,548.926,546.692,552.509,547.412,565.651,577.403,581.736,560.755,571.675,565.783,579.263,571.69,573.924,608.52,647.588,598.055,605.353,630.112,633.741,584.796,608.836,639.428,627.304,637.275,647.552,652.278,629.373,643.943,669.594,653.553,656.197,662.216,655.274,669.2,667,663.323,664.557,670.458,633.524,663.573,656.727,532.294,536.996,546.751,547.928,537.202,538.891,566.015,572.087,610.79,577.115,638.474,571.518,634.874,630.454
579.246,585.365,533.113,602.93,577.091,662.667,564.142,584.35,632.979,652.56,533.632,549.923,548.391,540.176,557.378,530.912,545.415,536.832,553.968,538.026,562.505,550.091,559.463,546.081,551.46,571.678,545.381,559.611,570.543,601.298,590.437,591.222,573.375,551.955,590.63,593.875,593.734,581.148,622.303,638.328,630.82,649.123,613.525,646.691,645.677,649.604,652.908,647.786,656.359,649.539,658.633,651.58,652.672,668.888,658.543,665.634,658.194,665.033,668.159,669.004,590.954,654.49,660.83,537.409,535.736,546.646,557.793,531.362,538.544,563.217,599.671,635.46,611.261,638.682,585.73,647.846,627.574
559.565,572.506,532.093,620.436,571.022,658.666,555.16,584.955,617.069,617.195,532.381,541.656,559.38,562.189,570.188,535.894,545.835,542.468,541.961,544.403,553.427,542.006,574.242,543.534,560.129,548.396,579.291,574.078,568.344,543.557,560.324,575.343,600.928,601.397,581.455,632.439,574.063,566.516,580.757,635.404,647.367,650.237,617.306,648.724,612.698,645.512,658.931,641.059,649.856,648.413,618.564,659.878,658.939,653.164,667.949,667.049,662.78,669.331,666.673,669.015,577.196,661.362,654.888,528.659,552.412,543.394,545.195,527.534,534.432,568.2,574.397,586.167,577,609.869,615.801,641.508,637.665
